N = 100, T = 0.010000/kb, dim = 2, max displacement = 0.200000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
399 0.010000 -74.725342
400 0.010000 -74.805672
401 0.010000 -74.957726
402 0.010000 -74.967033
403 0.010000 -74.916892
404 0.010000 -75.059591
405 0.010000 -75.040740
406 0.010000 -75.122018
407 0.010000 -75.125403
408 0.010000 -75.283131
409 0.010000 -75.295573
410 0.010000 -75.413487
411 0.010000 -75.467774
412 0.010000 -75.421548
413 0.010000 -75.539144
414 0.010000 -75.511461
415 0.010000 -75.492692
416 0.010000 -75.556052
417 0.010000 -75.541895
418 0.010000 -75.658617
419 0.010000 -75.890210
420 0.010000 -75.932933
421 0.010000 -75.927418
422 0.010000 -75.955474
423 0.010000 -75.978228
424 0.010000 -76.067038
425 0.010000 -76.211743
426 0.010000 -76.318075
427 0.010000 -76.381215
428 0.010000 -76.367140
429 0.010000 -76.363638
430 0.010000 -76.372827
431 0.010000 -76.519577
432 0.010000 -76.761393
433 0.010000 -76.729091
434 0.010000 -76.832769
435 0.010000 -76.823999
436 0.010000 -76.968717
437 0.010000 -77.117354
438 0.010000 -77.093829
439 0.010000 -77.113035
440 0.010000 -77.152579
441 0.010000 -77.156809
442 0.010000 -77.144253
443 0.010000 -77.142478
444 0.010000 -77.146052
445 0.010000 -77.138306
446 0.010000 -77.148904
447 0.010000 -77.166390
448 0.010000 -77.160714
449 0.010000 -77.191436
450 0.010000 -77.162171
451 0.010000 -77.163780
452 0.010000 -77.147386
453 0.010000 -77.114253
454 0.010000 -77.151173
455 0.010000 -77.158932
456 0.010000 -77.118810
457 0.010000 -77.103165
458 0.010000 -77.186530
459 0.010000 -77.249010
460 0.010000 -77.232455
461 0.010000 -77.235674
462 0.010000 -77.249197
463 0.010000 -77.281857
464 0.010000 -77.237576
465 0.010000 -77.235746
466 0.010000 -77.269163
467 0.010000 -77.285765
468 0.010000 -77.375515
469 0.010000 -77.354870
470 0.010000 -77.406111
471 0.010000 -77.366223
472 0.010000 -77.381604
473 0.010000 -77.381398
474 0.010000 -77.377061
475 0.010000 -77.376110
476 0.010000 -77.379506
477 0.010000 -77.365705
478 0.010000 -77.382841
479 0.010000 -77.455652
480 0.010000 -77.477252
481 0.010000 -77.445254
482 0.010000 -77.449993
483 0.010000 -77.453001
484 0.010000 -77.426127
485 0.010000 -77.462719
486 0.010000 -77.454056
487 0.010000 -77.434749
488 0.010000 -77.468361
489 0.010000 -77.511479
490 0.010000 -77.498783
491 0.010000 -77.472034
492 0.010000 -77.512650
493 0.010000 -77.526246
494 0.010000 -77.523961
495 0.010000 -77.605941
496 0.010000 -77.615177
497 0.010000 -77.614560
498 0.010000 -77.603918
499 0.010000 -77.605989
500 0.010000 -77.677808
501 0.010000 -77.668262
502 0.010000 -77.740212
503 0.010000 -77.746030
504 0.010000 -77.730595
505 0.010000 -77.864539
506 0.010000 -77.851321
507 0.010000 -77.865140
508 0.010000 -77.960088
509 0.010000 -77.936301
510 0.010000 -78.000587
511 0.010000 -78.007058
512 0.010000 -77.992759
513 0.010000 -78.081583
514 0.010000 -78.473329
515 0.010000 -78.795600
516 0.010000 -78.865080
517 0.010000 -79.215171
518 0.010000 -79.197690
519 0.010000 -79.211612
520 0.010000 -79.189034
521 0.010000 -79.274070
522 0.010000 -79.240164
523 0.010000 -79.286367
524 0.010000 -79.333088
525 0.010000 -79.324069
526 0.010000 -79.342944
527 0.010000 -79.350128
528 0.010000 -79.384617
529 0.010000 -79.353454
530 0.010000 -79.342097
531 0.010000 -79.358857
532 0.010000 -79.350787
533 0.010000 -79.343419
534 0.010000 -79.332365
535 0.010000 -79.304586
536 0.010000 -79.335923
537 0.010000 -79.343685
538 0.010000 -79.374069
539 0.010000 -79.393663
540 0.010000 -79.411820
541 0.010000 -79.422754
542 0.010000 -79.401383
543 0.010000 -79.427719
544 0.010000 -79.438638
545 0.010000 -79.420401
546 0.010000 -79.396304
547 0.010000 -79.404453
548 0.010000 -79.397598
549 0.010000 -79.420924
550 0.010000 -79.421792
551 0.010000 -79.418317
552 0.010000 -79.429776
553 0.010000 -79.437685
554 0.010000 -79.458549
555 0.010000 -79.448373
556 0.010000 -79.509329
557 0.010000 -79.526512
558 0.010000 -79.542218
559 0.010000 -79.551036
560 0.010000 -79.550928
561 0.010000 -79.623536
562 0.010000 -79.575214
563 0.010000 -79.563897
564 0.010000 -79.589690
565 0.010000 -79.631419
566 0.010000 -79.620866
567 0.010000 -79.627906
568 0.010000 -79.618362
569 0.010000 -79.640514
570 0.010000 -79.632126
571 0.010000 -79.565810
572 0.010000 -79.566421
573 0.010000 -79.571488
574 0.010000 -79.578916
575 0.010000 -79.646993
576 0.010000 -79.653114
577 0.010000 -79.652842
578 0.010000 -79.664703
579 0.010000 -79.662338
580 0.010000 -79.689411
581 0.010000 -79.722142
582 0.010000 -79.836656
583 0.010000 -80.007038
584 0.010000 -79.990135
585 0.010000 -80.069356
586 0.010000 -80.052442
587 0.010000 -80.467666
588 0.010000 -80.498172
589 0.010000 -80.586704
590 0.010000 -80.609313
591 0.010000 -80.663210
592 0.010000 -80.846966
593 0.010000 -80.975657
594 0.010000 -81.458984
595 0.010000 -81.742694
596 0.010000 -81.822199
597 0.010000 -81.849037
598 0.010000 -81.829955
599 0.010000 -81.849767
600 0.010000 -81.862215
601 0.010000 -81.823255
602 0.010000 -81.856365
603 0.010000 -81.824076
604 0.010000 -81.812654
605 0.010000 -81.787826
606 0.010000 -81.799319
607 0.010000 -81.826992
608 0.010000 -81.821032
609 0.010000 -81.810788
610 0.010000 -81.811513
611 0.010000 -81.823723
612 0.010000 -81.865662
613 0.010000 -81.851818
614 0.010000 -81.870251
615 0.010000 -81.863266
616 0.010000 -81.860622
617 0.010000 -81.939860
