N = 100, T = 10.000000/kb, dim = 2, max displacement = 2.000000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
616 10.000000 -8.128003
617 10.000000 -16.870514
618 10.000000 -9.186383
619 10.000000 -11.209636
620 10.000000 -6.646835
621 10.000000 3.206890
622 10.000000 -4.437615
623 10.000000 2.181363
624 10.000000 -0.324460
625 10.000000 -11.247879
626 10.000000 -12.436988
627 10.000000 -4.510425
628 10.000000 -2.267270
629 10.000000 1.228173
630 10.000000 -4.721272
631 10.000000 -7.580822
632 10.000000 -8.295480
633 10.000000 -10.532521
634 10.000000 -5.147567
635 10.000000 4.835039
636 10.000000 3.147606
637 10.000000 10.608096
638 10.000000 -12.996133
639 10.000000 -16.755145
640 10.000000 10.100590
641 10.000000 -7.453511
642 10.000000 -8.478008
643 10.000000 -10.827935
644 10.000000 7.395048
645 10.000000 0.989956
646 10.000000 -6.193123
647 10.000000 -0.763078
648 10.000000 -16.938352
649 10.000000 -10.441982
650 10.000000 -2.459243
651 10.000000 -9.188293
652 10.000000 -4.295505
653 10.000000 -11.860693
654 10.000000 -3.647835
655 10.000000 -7.536884
656 10.000000 25.340636
657 10.000000 10.473448
658 10.000000 -3.412851
659 10.000000 -7.789056
660 10.000000 -0.397295
661 10.000000 -4.426012
662 10.000000 -6.941700
663 10.000000 -13.113094
664 10.000000 -0.141471
665 10.000000 -9.726826
666 10.000000 -10.307623
667 10.000000 -5.138884
668 10.000000 -3.068505
669 10.000000 -9.417697
670 10.000000 -7.333031
671 10.000000 -7.764083
672 10.000000 -6.150879
673 10.000000 -9.500912
674 10.000000 -12.940830
675 10.000000 -4.830310
676 10.000000 -10.092381
677 10.000000 -12.605914
678 10.000000 -6.734474
679 10.000000 -10.083584
680 10.000000 -2.533441
681 10.000000 -5.412010
682 10.000000 -9.627995
683 10.000000 0.386914
684 10.000000 -12.410139
685 10.000000 -1.503977
686 10.000000 -10.845342
687 10.000000 -12.209941
688 10.000000 -2.231268
689 10.000000 22.547712
690 10.000000 27.263170
691 10.000000 12.307873
692 10.000000 6.595636
693 10.000000 0.939768
694 10.000000 -13.389534
695 10.000000 -9.487133
696 10.000000 -11.396851
697 10.000000 -0.497054
698 10.000000 17.340428
699 10.000000 20.741099
700 10.000000 12.084778
701 10.000000 -5.980441
702 10.000000 -7.724222
703 10.000000 -2.161474
704 10.000000 -9.036765
705 10.000000 -8.734865
706 10.000000 -13.206952
707 10.000000 -9.880911
708 10.000000 -7.172097
709 10.000000 -10.287523
710 10.000000 -8.379747
711 10.000000 -10.954988
712 10.000000 -9.762793
713 10.000000 -11.664459
714 10.000000 -8.290145
715 10.000000 17.455369
716 10.000000 -14.509397
717 10.000000 -3.639779
718 10.000000 -12.036627
719 10.000000 -13.859904
720 10.000000 -12.419186
721 10.000000 -11.679650
722 10.000000 -3.420352
723 10.000000 -12.964980
724 10.000000 -0.157126
725 10.000000 -6.084483
726 10.000000 -11.555816
727 10.000000 -7.625390
728 10.000000 -11.644319
729 10.000000 -13.219764
730 10.000000 13.381022
731 10.000000 -14.481163
732 10.000000 -13.668746
733 10.000000 -16.476567
734 10.000000 -11.200599
735 10.000000 -10.138375
736 10.000000 -3.828677
737 10.000000 -9.561703
738 10.000000 -8.811994
739 10.000000 -8.676874
740 10.000000 -10.301868
741 10.000000 -11.035821
742 10.000000 -5.650343
743 10.000000 -8.439790
744 10.000000 27.966238
745 10.000000 23.268897
746 10.000000 0.748494
747 10.000000 15.079069
748 10.000000 1.263693
749 10.000000 -7.251808
750 10.000000 -11.108582
751 10.000000 11.384462
752 10.000000 -9.271149
753 10.000000 1.545772
754 10.000000 -11.493876
755 10.000000 -14.978494
756 10.000000 26.142686
757 10.000000 17.635672
758 10.000000 -10.421970
759 10.000000 -13.802615
760 10.000000 -5.755806
761 10.000000 1.016205
762 10.000000 31.030286
763 10.000000 -1.816708
764 10.000000 8.787163
765 10.000000 15.887116
766 10.000000 4.746045
767 10.000000 10.978912
768 10.000000 10.549213
769 10.000000 1.887486
770 10.000000 -10.153718
771 10.000000 -10.653021
772 10.000000 -8.225591
773 10.000000 -11.347622
774 10.000000 5.163764
775 10.000000 3.954843
776 10.000000 -0.829607
777 10.000000 -6.600984
778 10.000000 -13.303195
779 10.000000 -9.633882
780 10.000000 -4.801549
781 10.000000 14.646688
782 10.000000 -3.681350
783 10.000000 0.317665
784 10.000000 -10.301899
785 10.000000 -13.691427
786 10.000000 3.584869
787 10.000000 4.370887
788 10.000000 -3.287728
789 10.000000 -1.589958
790 10.000000 -11.560475
791 10.000000 -12.339171
792 10.000000 0.640482
793 10.000000 4.705726
794 10.000000 -12.406070
795 10.000000 1.646998
796 10.000000 9.729335
797 10.000000 11.468781
798 10.000000 1.673064
799 10.000000 8.359412
800 10.000000 -0.129004
801 10.000000 -7.592856
802 10.000000 -6.444739
803 10.000000 -10.055856
804 10.000000 -10.241361
805 10.000000 -6.859676
806 10.000000 2.283887
807 10.000000 6.330668
808 10.000000 -10.559541
809 10.000000 -8.456585
810 10.000000 -13.522150
811 10.000000 -11.385379
812 10.000000 1.945363
813 10.000000 -11.324713
814 10.000000 -11.458701
815 10.000000 -11.728898
816 10.000000 -5.992871
817 10.000000 -7.557580
818 10.000000 -10.976759
819 10.000000 -12.180013
820 10.000000 28.998759
821 10.000000 2.750101
822 10.000000 -9.264899
823 10.000000 -12.097639
824 10.000000 -11.501762
825 10.000000 -3.195393
826 10.000000 2.669326
827 10.000000 11.200414
828 10.000000 1.913405
829 10.000000 -7.768984
830 10.000000 -5.191597
831 10.000000 -13.689569
832 10.000000 -5.984107
833 10.000000 -8.741377
834 10.000000 -9.793882
835 10.000000 -7.914703
836 10.000000 -6.910363
837 10.000000 -8.707642
838 10.000000 1.397145
839 10.000000 2.500833
840 10.000000 2.250608
841 10.000000 -8.821021
842 10.000000 -9.299980
843 10.000000 -12.807805
844 10.000000 -12.531355
845 10.000000 -11.798892
846 10.000000 -10.315677
847 10.000000 -9.267792
848 10.000000 10.145113
849 10.000000 -14.122947
850 10.000000 -14.065054
851 10.000000 -3.023516
852 10.000000 -6.869298
853 10.000000 9.093218
854 10.000000 9.728150
855 10.000000 -7.860157
856 10.000000 -9.962521
857 10.000000 -11.861726
858 10.000000 0.600652
859 10.000000 -5.315358
860 10.000000 -17.237739
861 10.000000 5.696549
862 10.000000 51.910442
863 10.000000 -13.560129
864 10.000000 -7.294997
865 10.000000 -2.352247
866 10.000000 -10.804348
867 10.000000 -13.344936
868 10.000000 -12.449920
869 10.000000 -4.243011
870 10.000000 -17.954331
871 10.000000 -12.893672
872 10.000000 37.975940
873 10.000000 -2.603421
874 10.000000 6.573271
875 10.000000 -15.553318
876 10.000000 -13.868944
877 10.000000 -4.451456
878 10.000000 -9.130931
879 10.000000 -7.905742
880 10.000000 -6.652141
881 10.000000 -11.127296
882 10.000000 -20.257388
883 10.000000 11.010099
884 10.000000 -10.179442
885 10.000000 -6.600068
886 10.000000 -12.598556
887 10.000000 -3.232505
888 10.000000 -8.380454
889 10.000000 -0.309498
890 10.000000 -6.521043
891 10.000000 -11.661022
892 10.000000 -10.843292
893 10.000000 11.237073
894 10.000000 -4.237862
895 10.000000 -6.674712
896 10.000000 -10.187106
897 10.000000 -7.816911
898 10.000000 -5.066909
899 10.000000 -15.164629
900 10.000000 -9.460241
901 10.000000 -10.131001
902 10.000000 10.078838
903 10.000000 -7.850144
904 10.000000 0.712191
905 10.000000 -8.600916
906 10.000000 8.244060
907 10.000000 -4.419489
